tanggal,jam,mode,ticker,sektor,close,chg_pct,volume,vspike_pct,rsi,atr,candle_pola,candle_skor,vol_arah_status,vol_rasio_beli,vol_candle,macd_signal,macd_hist,bb_status,bb_pct_b,bb_upper,bb_lower,support,resistance,score,signal,hint,est_low,est_mid,est_high,est_gap_pct,est_arah,est_confidence,actual_open_besok,actual_high_besok,actual_close_besok,profit_loss_pct
2026-05-07,04:30,normal,UNVR,Consumer,1805.0,10.06,75977100.0,320.5,44.51,81.79,-,0,AKUMULASI_KUAT,79.4,HIJAU 🟢,-99.2252,9.0572,MIDDLE,58.7,2070.0,1428.0,1485.0,1960.0,80,KUAT,GOLDEN✨,1784.0,1887.0,1936.0,4.55,NAIK,72,,,,
2026-05-07,04:30,normal,BKSL,Properti,113.0,6.6,1051841100.0,433.6,38.89,5.57,-,0,AKUMULASI_KUAT,81.7,HIJAU 🟢,-2.3827,0.0296,MIDDLE,50.0,125.0,101.0,104.0,127.0,80,KUAT,GOLDEN✨,112.0,119.0,122.0,4.99,NAIK,72,,,,
2026-05-07,04:30,normal,TOBA,Energi,625.0,7.76,53520400.0,341.1,42.29,32.59,-,0,AKUMULASI_KUAT,75.5,HIJAU 🟢,-4.628,-1.5792,SQUEEZE,59.9,675.0,551.0,550.0,683.0,67,MODERAT,SQUEEZE⚡,618.0,654.0,672.0,4.69,NAIK,68,,,,
2026-05-07,04:30,normal,CMRY,Consumer,4870.0,3.62,5351500.0,129.3,63.08,191.06,3 White Soldiers 🪖,28,AKUMULASI,59.8,HIJAU 🟢,-15.2687,39.6531,BREAKOUT_UP,113.4,4794.0,4227.0,4200.0,4730.0,65,MODERAT,3 SOLDIERS🪖,4839.0,4993.0,5067.0,2.53,NAIK,58,,,,
2026-05-07,04:30,normal,ICBP,Consumer,6800.0,1.12,6494900.0,129.4,30.95,141.07,Bull.Engulfing 🟢,25,AKUMULASI,59.6,HIJAU 🟢,-162.5092,-18.0372,LOWER_ZONE,23.9,7587.0,6553.0,6650.0,7550.0,64,MODERAT,ENGULFING🟢,6778.0,6887.0,6940.0,1.29,NAIK,58,,,,
2026-05-07,04:30,normal,PGEO,Tambang,1055.0,3.43,45933900.0,197.8,52.93,34.64,-,0,AKUMULASI,56.8,HIJAU 🟢,-1.9591,7.6741,BREAKOUT_UP,100.6,1054.0,941.0,937.0,1051.0,64,MODERAT,BREAKOUT🚀,1049.0,1080.0,1095.0,2.38,NAIK,60,,,,
2026-05-07,04:30,normal,AMRT,Consumer,1520.0,5.56,41470900.0,111.8,49.11,62.86,-,0,AKUMULASI_KUAT,80.6,HIJAU 🟢,-38.2083,8.9948,UPPER_ZONE,71.6,1599.0,1322.0,1305.0,1570.0,63,MODERAT,-,1508.0,1568.0,1596.0,3.13,NAIK,61,,,,
2026-05-07,04:30,normal,MBMA,Tambang,655.0,6.5,174974700.0,112.1,35.59,38.57,-,0,DISTRIBUSI_KUAT,31.4,HIJAU 🟢,-12.9107,-7.1667,LOWER_ZONE,17.8,792.0,625.0,615.0,795.0,57,MODERAT,AKUMULASI,648.0,683.0,700.0,4.31,NAIK,60,,,,
2026-05-07,04:30,normal,BANK,Perbankan,630.0,5.0,1269800.0,155.0,62.96,47.5,-,0,AKUMULASI_KUAT,67.7,HIJAU 🟢,15.3903,9.2423,UPPER_ZONE,90.4,647.0,465.0,486.0,640.0,56,MODERAT,-,623.0,659.0,677.0,4.61,SIDEWAYS,50,,,,
2026-05-07,04:30,normal,CGAS,Energi,174.0,1.16,9989700.0,278.6,59.46,5.93,-,0,DISTRIBUSI,42.8,HIJAU 🟢,0.8331,0.5296,SQUEEZE,85.6,176.0,162.0,160.0,177.0,54,LEMAH,SQUEEZE⚡,173.0,178.0,181.0,2.47,NAIK,60,,,,
